iter	MultiClass
0	2.225145754
1	2.11050298
2	2.008162046
3	1.920721952
4	1.85505779
5	1.806363171
6	1.754335492
7	1.711628263
8	1.672230694
9	1.640152761
10	1.611261658
11	1.587868653
12	1.566603714
13	1.542205431
14	1.521684975
15	1.502028719
16	1.483384042
17	1.467321625
18	1.448600689
19	1.436856573
20	1.421903652
21	1.407079191
22	1.394665843
23	1.381104117
24	1.370838564
25	1.360092585
26	1.346620381
27	1.335575213
28	1.323877301
29	1.315232092
30	1.30081845
31	1.293995004
32	1.285638916
33	1.277471843
34	1.268158961
35	1.259460179
36	1.25299743
37	1.246612779
38	1.237573251
39	1.23326728
40	1.229290341
41	1.223284404
42	1.217742969
43	1.212912286
44	1.206010313
45	1.202338691
46	1.196904666
47	1.192563661
48	1.184653203
49	1.173767961
50	1.166718275
51	1.162403565
52	1.157857168
53	1.154550558
54	1.147746273
55	1.141869667
56	1.137703132
57	1.132457254
58	1.130243414
59	1.125249591
60	1.117503416
61	1.112714407
62	1.108490408
63	1.104153735
64	1.10189888
65	1.098316526
66	1.09587704
67	1.092627914
68	1.088639284
69	1.084927884
70	1.079154319
71	1.075388331
72	1.073031486
73	1.070257527
74	1.067674833
75	1.064416726
76	1.061564095
77	1.059044507
78	1.053493821
79	1.050272246
80	1.047251685
81	1.043543347
82	1.04137473
83	1.037719714
84	1.03222547
85	1.029494307
86	1.025489882
87	1.022985879
88	1.019937166
89	1.015809878
90	1.012759227
91	1.010436601
92	1.00723463
93	1.00430022
94	1.002597015
95	0.998611424
96	0.9947585572
97	0.991866276
98	0.9880519944
99	0.9861429869
100	0.9823539476
101	0.9806589081
102	0.9785680294
103	0.9748222858
104	0.9713514989
105	0.9672115032
106	0.9643392458
107	0.9601731931
108	0.9579572009
109	0.9561036779
110	0.952715155
111	0.9499488826
112	0.9466811165
113	0.9454976078
114	0.9416648814
115	0.939161832
116	0.9343871699
117	0.9326543779
118	0.9284812932
119	0.9235935198
120	0.9208657186
121	0.9194117485
122	0.9154818896
123	0.911881311
124	0.9066130005
125	0.904684159
126	0.9011225772
127	0.897816245
128	0.8946202977
129	0.8925839049
130	0.8889104383
131	0.8862134135
132	0.8839449268
133	0.8793898992
134	0.8745965172
135	0.8729684064
136	0.871282241
137	0.869376445
138	0.867203333
139	0.8648643176
140	0.8620279579
141	0.8580520053
142	0.8552246919
143	0.8529150561
144	0.8503073716
145	0.8490037329
146	0.8457477701
147	0.8440648963
148	0.8418770462
149	0.8393816148
150	0.8367640705
151	0.8339361383
152	0.8322626836
153	0.830226955
154	0.8281028763
155	0.8254768089
156	0.8243466196
157	0.8232715282
158	0.8209742094
159	0.8186449509
160	0.8166700523
161	0.8136454584
162	0.8113333784
163	0.8088771681
164	0.8068199555
165	0.8047355242
166	0.8027665013
167	0.8011669263
168	0.7987245919
169	0.797603736
170	0.7952460172
171	0.7926326463
172	0.7904736541
173	0.788568077
174	0.7863949926
175	0.7847429022
176	0.7828114986
177	0.7806477636
178	0.7789850481
179	0.777079833
180	0.7758283645
181	0.774315562
182	0.7720706005
183	0.7704958315
184	0.7681283576
185	0.7660532642
186	0.7641507229
187	0.7612451156
188	0.7598373576
189	0.7573559968
190	0.755993676
191	0.7547173175
192	0.7535569044
193	0.7515684083
194	0.7491917297
195	0.7480110327
196	0.7460913162
197	0.7450593183
198	0.743053721
199	0.7419480421
200	0.7408731429
201	0.7395976761
202	0.737929837
203	0.7362651699
204	0.7345522385
205	0.7331109872
206	0.7319346921
207	0.7300833668
208	0.7282775355
209	0.7267505781
210	0.7254318772
211	0.7242762789
212	0.7231683965
213	0.721748018
214	0.7200575005
215	0.718792216
216	0.7175041251
217	0.7163925672
218	0.7147138665
219	0.7137590957
220	0.7111600513
221	0.7100289757
222	0.7083910443
223	0.707081773
224	0.7059135513
225	0.7053931228
226	0.7030184843
227	0.701768826
228	0.6997485333
229	0.6983508116
230	0.6969297637
231	0.6954155819
232	0.6943064526
233	0.6923882181
234	0.6914352838
235	0.6902178799
236	0.6895203069
237	0.6878276002
238	0.6869648521
239	0.6849478859
240	0.6836277147
241	0.6821050351
242	0.6809966361
243	0.6796608645
244	0.6788500211
245	0.6779847848
246	0.6769139382
247	0.6756361803
248	0.6751528069
249	0.674118869
250	0.6728487665
251	0.6708454919
252	0.6700565572
253	0.6688056358
254	0.6674156319
255	0.6657756862
256	0.6635393719
257	0.6623943502
258	0.6606752504
259	0.6595293068
260	0.6588219519
261	0.6581691607
262	0.6561046717
263	0.6551843707
264	0.6540094843
265	0.6519829986
266	0.651013113
267	0.6503816298
268	0.6492882074
269	0.6481986386
270	0.6470961199
271	0.6458453734
272	0.6451886538
273	0.6439689676
274	0.6428084334
275	0.6416092924
276	0.6402033146
277	0.6388016283
278	0.6372049009
279	0.6363195989
280	0.6352972408
281	0.6338107837
282	0.632666304
283	0.6314076483
284	0.6301871116
285	0.6286882237
286	0.6282225262
287	0.6265590752
288	0.6247148461
289	0.6235593225
290	0.6227968519
291	0.620550639
292	0.6189968103
293	0.6180614039
294	0.6161780632
295	0.6155432432
296	0.6149250875
297	0.6136752775
298	0.6120144368
299	0.6112732858
300	0.6102486593
301	0.6087963823
302	0.6079382227
303	0.6065701596
304	0.6059297347
305	0.6048088196
306	0.6034129
307	0.6024790298
308	0.6007658033
309	0.5996614572
310	0.5989329461
311	0.59804178
312	0.5975469771
313	0.5966101735
314	0.595778284
315	0.5947405848
316	0.5936730174
317	0.5923392072
318	0.5913004893
319	0.5899793692
320	0.5889273835
321	0.5872334131
322	0.5862329544
323	0.584985065
324	0.5838448281
325	0.5826072188
326	0.5818196587
327	0.5807613299
328	0.5802459509
329	0.578980466
330	0.578358254
331	0.5771459217
332	0.5759031855
333	0.5752190377
334	0.5742635411
335	0.5734145864
336	0.5729415871
337	0.5718681622
338	0.5700604715
339	0.5693434031
340	0.5687643773
341	0.5679885548
342	0.5663139809
343	0.5656165728
344	0.5645045317
345	0.5631433543
346	0.5624296144
347	0.562022743
348	0.5608450154
349	0.5595868046
350	0.5588198965
351	0.5570965304
352	0.5555835102
353	0.5543555218
