iter	Passed	Remaining
0	25	25905
1	52	25998
2	77	25839
3	103	25858
4	129	25856
5	155	25809
6	181	25806
7	216	26850
8	245	27042
9	272	26989
10	298	26867
11	325	26793
12	351	26701
13	378	26664
14	411	27040
15	444	27337
16	470	27201
17	504	27514
18	532	27478
19	558	27374
20	584	27252
21	615	27367
22	647	27518
23	673	27389
24	698	27256
25	724	27129
26	749	27006
27	774	26883
28	799	26769
29	824	26666
30	860	26887
31	889	26899
32	919	26955
33	945	26872
34	972	26811
35	999	26751
36	1025	26692
37	1052	26646
38	1087	26804
39	1114	26755
40	1141	26698
41	1168	26642
42	1204	26817
43	1232	26776
44	1257	26695
45	1297	26911
46	1322	26820
47	1348	26742
48	1383	26853
49	1409	26783
50	1435	26715
51	1461	26643
52	1486	26568
53	1521	26661
54	1547	26594
55	1576	26580
56	1602	26517
57	1628	26450
58	1654	26380
59	1679	26315
60	1705	26255
61	1741	26353
62	1768	26307
63	1795	26258
64	1821	26202
65	1847	26144
66	1872	26081
67	1905	26123
68	1936	26133
69	1967	26137
70	1993	26077
71	2018	26019
72	2044	25960
73	2069	25900
74	2095	25846
75	2122	25799
76	2157	25864
77	2183	25805
78	2208	25751
79	2235	25708
80	2261	25656
81	2287	25606
82	2313	25554
83	2349	25615
84	2383	25657
85	2409	25611
86	2437	25575
87	2472	25619
88	2500	25599
89	2528	25569
90	2559	25563
91	2592	25589
92	2618	25538
93	2644	25488
94	2669	25435
95	2698	25408
96	2724	25358
97	2752	25331
98	2778	25286
99	2811	25305
100	2838	25269
101	2865	25225
102	2892	25194
103	2925	25206
104	2952	25162
105	2977	25114
106	3005	25080
107	3033	25056
108	3059	25007
109	3084	24959
110	3111	24923
111	3142	24913
112	3181	24972
113	3221	25038
114	3251	25021
115	3277	24976
116	3303	24931
117	3335	24931
118	3361	24883
119	3389	24852
120	3422	24865
121	3449	24824
122	3475	24778
123	3500	24731
124	3526	24687
125	3555	24661
126	3581	24616
127	3606	24570
128	3639	24574
129	3665	24530
130	3691	24485
131	3716	24441
132	3742	24399
133	3769	24358
134	3795	24320
135	3824	24297
136	3859	24314
137	3887	24284
138	3914	24248
139	3941	24209
140	3968	24176
141	3995	24140
142	4023	24113
143	4049	24073
144	4084	24084
145	4111	24049
146	4137	24007
147	4162	23962
148	4187	23918
149	4213	23876
150	4239	23834
151	4266	23800
152	4309	23858
153	4336	23823
154	4362	23782
155	4390	23751
156	4415	23707
157	4442	23674
158	4469	23639
159	4499	23619
160	4532	23621
161	4559	23584
162	4585	23548
163	4611	23509
164	4638	23471
165	4663	23431
166	4689	23391
167	4714	23349
168	4746	23338
169	4771	23296
170	4808	23313
171	4834	23273
172	4861	23237
173	4886	23197
174	4912	23156
175	4939	23126
176	4967	23098
